Tempo;Tensão
4,942;1,044
4,954;1,053
5,002;1,044
5,016;1,034
5,032;1,025
5,132;1,020
5,148;1,011
5,196;1,019
5,268;1,011
5,306;1,001
5,318;0,993
5,328;0,984
5,338;0,974
5,348;0,965
5,372;0,957
5,404;0,948
5,416;0,938
5,426;0,929
5,436;0,919
5,446;0,908
5,456;0,898
5,466;0,890
5,486;0,881
5,512;0,890
5,53;0,899
5,562;0,890
5,58;0,880
5,606;0,871
5,622;0,862
5,632;0,852
5,64;0,843
5,648;0,833
5,658;0,823
5,67;0,814
5,69;0,805
5,712;0,796
5,728;0,787
5,756;0,778
5,784;0,769
5,806;0,761
5,828;0,752
5,844;0,742
5,856;0,733
5,868;0,724
5,952;0,714
5,962;0,704
5,97;0,696
5,978;0,687
5,988;0,678
6,006;0,670
6,048;0,661
6,14;0,652
6,236;0,644
6,25;0,634
6,3;0,643
6,32;0,652
6,334;0,662
6,344;0,671
6,354;0,682
6,364;0,691
6,422;0,681
6,436;0,672
6,454;0,663
6,554;0,659
6,574;0,669
6,59;0,678
6,64;0,687
6,686;0,678
6,744;0,669
6,756;0,660
6,766;0,651
6,778;0,641
6,822;0,632
6,852;0,623
6,872;0,614
6,956;0,605
6,966;0,596
6,978;0,586
7,016;0,577
7,036;0,569
7,054;0,560
7,114;0,552
7,214;0,554
7,248;0,546
7,26;0,537
7,272;0,528
7,284;0,519
7,296;0,509
7,312;0,500
7,334;0,509
7,342;0,519
7,35;0,530
7,356;0,539
7,362;0,548
7,368;0,556
7,376;0,566
7,386;0,576
7,402;0,584
7,42;0,593
7,436;0,603
7,454;0,612
7,554;0,621
7,572;0,631
7,584;0,640
7,594;0,650
7,6;0,659
7,606;0,670
7,61;0,680
7,614;0,691
7,618;0,704
7,622;0,720
7,624;0,729
7,626;0,739
7,628;0,749
7,63;0,760
7,632;0,772
7,634;0,784
7,636;0,798
7,638;0,812
7,64;0,827
7,642;0,844
7,644;0,861
7,646;0,879
7,648;0,898
7,65;0,918
7,652;0,939
7,654;0,961
7,656;0,983
7,658;1,006
7,66;1,030
7,662;1,055
7,664;1,080
7,666;1,106
7,668;1,132
7,67;1,159
7,672;1,186
7,674;1,213
7,676;1,241
7,678;1,270
7,68;1,299
7,682;1,328
7,684;1,357
7,686;1,387
7,688;1,417
7,69;1,448
7,692;1,479
7,694;1,510
7,696;1,542
7,698;1,574
7,7;1,607
7,702;1,640
7,704;1,674
7,706;1,709
7,708;1,744
7,71;1,779
7,712;1,815
7,714;1,851
7,716;1,888
7,718;1,925
7,72;1,962
7,722;2,000
7,724;2,037
7,726;2,075
7,728;2,112
7,73;2,150
7,732;2,187
7,734;2,224
7,736;2,261
7,738;2,297
7,74;2,333
7,742;2,369
7,744;2,403
7,746;2,438
7,748;2,471
7,75;2,504
7,752;2,536
7,754;2,567
7,756;2,598
7,758;2,627
7,76;2,655
7,762;2,683
7,764;2,709
7,766;2,734
7,768;2,759
7,77;2,782
7,772;2,804
7,774;2,826
7,776;2,846
7,778;2,866
7,78;2,884
7,782;2,903
7,784;2,920
7,786;2,937
7,788;2,952
7,79;2,967
7,792;2,982
7,794;2,997
7,796;3,010
7,798;3,024
7,8;3,036
7,802;3,049
7,804;3,060
7,806;3,072
7,808;3,083
7,81;3,093
7,812;3,104
7,814;3,113
7,816;3,123
7,818;3,132
7,82;3,141
7,822;3,150
7,824;3,159
7,828;3,175
7,832;3,191
7,836;3,206
7,84;3,220
7,844;3,233
7,848;3,245
7,852;3,256
7,856;3,266
7,86;3,274
7,866;3,285
7,874;3,295
7,89;3,303
7,99;3,300
8,09;3,300
8,19;3,300
8,29;3,300
8,39;3,300
8,49;3,300
8,59;3,300
8,69;3,300
8,79;3,300
8,89;3,300
8,99;3,300
9,09;3,300
9,19;3,300
9,29;3,300
9,39;3,300
9,49;3,300
9,59;3,300
9,69;3,300
9,79;3,300
9,89;3,300
9,99;3,300
10,09;3,300
10,19;3,300
10,29;3,300
10,39;3,300
10,49;3,300
10,59;3,300
10,69;3,300
10,79;3,300
10,89;3,300
10,99;3,300
11,09;3,300
11,19;3,300
11,29;3,300
11,39;3,300
11,49;3,300
11,59;3,300
11,69;3,300
11,79;3,300
11,89;3,300
11,99;3,300
12,09;3,300
12,102;3,300
